window_index,accel_mag_max,accel_mag_p95,gyro_mag_max,gyro_mag_p95,jerk_abs_max,jerk_abs_p95,anomaly_score,is_abnormal
3.900000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
4.000000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
4.100000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
4.200000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
4.300000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
4.400000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
4.500000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
4.600000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
4.700000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
4.800000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
4.900000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
5.000000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
5.100000000000000000e+01,9.421703338623046875e+00,9.421703338623046875e+00,4.320773482322692871e-02,4.320773482322692871e-02,0.000000000000000000e+00,0.000000000000000000e+00,6.993070011065360969e-01,0.000000000000000000e+00
